IncidntNum,X_pr,Y_pr,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y,geometry,DateTime,Hour
120754135,6006700.999942632,2116024.0000371756,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-19,00:00:00,NORTHERN,NONE,CALIFORNIA ST / POLK ST,-122.420691681,37.7905770711,POINT (6006700.999942632 2116024.0000371756),2012-09-19,0
120754226,5997782.773879564,2109905.235884725,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-19,00:00:00,PARK,NONE,200 Block of COLE ST,-122.451106637,37.7732698779,POINT (5997782.773879564 2109905.235884725),2012-09-19,0
120754709,6003570.460069171,2107065.46650925,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-17,00:00:00,MISSION,NONE,200 Block of SANCHEZ ST,-122.43088355,37.7658022256,POINT (6003570.460069171 2107065.46650925),2012-09-17,0
120755042,6017135.609074124,2097379.0785675896,CAR THEFT,STOLEN AUTOMOBILE,Tuesday,2012-09-18,00:00:00,BAYVIEW,NONE,1300 Block of EVANS AV,-122.383289798,37.739964676,POINT (6017135.609074124 2097379.0785675896),2012-09-18,0
120756896,6003691.7039752435,2113287.513161591,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.430908286,37.7828933039,POINT (6003691.7039752435 2113287.513161591),2012-09-20,0
120757935,6017238.876987653,2093194.2065457169,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-01,00:00:00,BAYVIEW,NONE,1200 Block of QUESADA AV,-122.382641612,37.7284795546,POINT (6017238.876987653 2093194.2065457169),2012-09-01,0
120757991,6007088.000122433,2107333.999989946,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,MISSION,NONE,15TH ST / CAPP ST,-122.418736143,37.76673823,POINT (6007088.000122433 2107333.999989946),2012-09-20,0
120758030,6009815.825534624,2100966.3651605486,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,MISSION,NONE,2800 Block of BRYANT ST,-122.408851714,37.7494073466,POINT (6009815.825534624 2100966.3651605486),2012-09-20,0
120758121,5991321.50107503,2091681.6909298722,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,TARAVAL,NONE,800 Block of JUNIPERO SERRA BL,-122.472128257,37.7228607035,POINT (5991321.50107503 2091681.6909298722),2012-09-20,0
120758331,6009046.393052605,2096271.4773934367,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,INGLESIDE,NONE,200 Block of PUTNAM ST,-122.411180844,37.7364730867,POINT (6009046.393052605 2096271.4773934367),2012-09-20,0
120758751,5999733.956675551,2086530.22948731,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,INGLESIDE,NONE,300 Block of HANOVER ST,-122.442678545,37.7091991984,POINT (5999733.956675551 2086530.22948731),2012-09-20,0
120760461,6008295.000013527,2102706.000006403,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-21,00:00:00,MISSION,NONE,23RD ST / FOLSOM ST,-122.414233849,37.7540986882,POINT (6008295.000013527 2102706.000006403),2012-09-21,0
120760502,6007348.786306166,2087006.73024997,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,INGLESIDE,NONE,200 Block of HAHN ST,-122.416394171,37.7109387228,POINT (6007348.786306166 2087006.73024997),2012-09-22,0
120761049,6009329.674236927,2110867.421059393,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.411232168,37.7765661396,POINT (6009329.674236927 2110867.421059393),2012-09-22,0
120761340,6003271.460675655,2093771.1381621035,CAR THEFT,STOLEN TRUCK,Friday,2012-09-21,00:00:00,INGLESIDE,NONE,0 Block of CASTLEMANOR AV,-122.430968825,37.7292821619,POINT (6003271.460675655 2093771.1381621035),2012-09-21,0
120761635,6009663.000082754,2103950.9999892237,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-21,00:00:00,MISSION,NONE,21ST ST / BRYANT ST,-122.409590818,37.757593926,POINT (6009663.000082754 2103950.9999892237),2012-09-21,0
120761679,6008552.999875208,2106241.9999963543,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-21,00:00:00,MISSION,NONE,TREAT AV / 17TH ST,-122.413591696,37.7638222259,POINT (6008552.999875208 2106241.9999963543),2012-09-21,0
120761776,6011622.999943498,2112168.0000134027,CAR THEFT,STOLEN TRUCK,Monday,2012-09-17,00:00:00,SOUTHERN,NONE,5TH ST / FOLSOM ST,-122.403390365,37.7802655777,POINT (6011622.999943498 2112168.0000134027),2012-09-17,0
120761986,5994530.621791978,2104309.8618791383,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,PARK,NONE,400 Block of WARREN DR,-122.461950365,37.757719709,POINT (5994530.621791978 2104309.8618791383),2012-09-22,0
120762348,5989306.927735889,2114350.8947517737,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-17,00:00:00,RICHMOND,NONE,100 Block of 21ST AV,-122.480750927,37.7849875058,POINT (5989306.927735889 2114350.8947517737),2012-09-17,0
120762423,6010805.999987891,2118594.00000503,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,CENTRAL,NONE,COLUMBUS AV / BROADWAY ST,-122.40666974,37.7978641744,POINT (6010805.999987891 2118594.00000503),2012-09-22,0
120762984,6008760.000081896,2110306.00000345,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,SOUTHERN,NONE,HOWARD ST / 9TH ST,-122.413163134,37.7749926445,POINT (6008760.000081896 2110306.00000345),2012-09-22,0
120763681,6013965.000069157,2117046.0000217827,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,SOUTHERN,NONE,MARKET ST / SPEAR ST,-122.395630116,37.7937899671,POINT (6013965.000069157 2117046.0000217827),2012-09-22,0
120763948,5999795.446349011,2093216.789050794,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,INGLESIDE,NONE,0 Block of ARAGO ST,-122.442945884,37.7275624756,POINT (5999795.446349011 2093216.789050794),2012-09-22,0
120765784,5982305.348564262,2100710.2171346024,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,TARAVAL,NONE,2100 Block of 44TH AV,-122.503963071,37.7471246892,POINT (5982305.348564262 2100710.2171346024),2012-09-24,0
120765831,6007627.799234141,2119902.911177494,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-23,00:00:00,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.417760062,37.801279787,POINT (6007627.799234141 2119902.911177494),2012-09-23,0
120766196,6000948.740134543,2091750.9374908062,CAR THEFT,STOLEN AUTOMOBILE,Friday,2012-09-21,00:00:00,INGLESIDE,NONE,900 Block of CAYUGA AV,-122.438853946,37.7236032681,POINT (6000948.740134543 2091750.9374908062),2012-09-21,0
120766340,5991420.000122938,2107259.999995234,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,TARAVAL,NONE,LINCOLN WY / 15TH AV,-122.472923191,37.7656404316,POINT (5991420.000122938 2107259.999995234),2012-09-24,0
120766572,6011320.999987926,2117341.0000018873,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,CENTRAL,NONE,KEARNY ST / CLAY ST,-122.404799425,37.7944525389,POINT (6011320.999987926 2117341.0000018873),2012-09-24,0
120766635,6001188.725938194,2110445.7453080458,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-23,00:00:00,PARK,NONE,500 Block of BRODERICK ST,-122.439363765,37.7749483928,POINT (6001188.725938194 2110445.7453080458),2012-09-23,0
120766782,5984708.00000766,2112468.0000265664,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,RICHMOND,NONE,GEARY BL / 36TH AV,-122.496522519,37.7795492492,POINT (5984708.00000766 2112468.0000265664),2012-09-24,0
120767398,5998784.079662155,2100395.9060371425,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-22,00:00:00,PARK,NONE,0 Block of SUNVIEW DR,-122.446958569,37.7472169061,POINT (5998784.079662155 2100395.9060371425),2012-09-22,0
120768045,6003132.609208608,2094167.472854984,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,INGLESIDE,NONE,1200 Block of ALEMANY BL,-122.431477129,37.7303625389,POINT (6003132.609208608 2094167.472854984),2012-09-24,0
120768885,6012043.9998620255,2119122.0000191955,CAR THEFT,STOLEN AUTOMOBILE,Tuesday,2012-09-18,00:00:00,CENTRAL,NONE,SANSOME ST / VALLEJO ST,-122.402423033,37.799383122,POINT (6012043.9998620255 2119122.0000191955),2012-09-18,0
120769190,6005489.000112032,2107246.000003671,CAR THEFT,STOLEN MOTORCYCLE,Tuesday,2012-09-25,00:00:00,MISSION,NONE,GUERRERO ST / 15TH ST,-122.424260561,37.7664064445,POINT (6005489.000112032 2107246.000003671),2012-09-25,0
120769695,6004172.0001386255,2090829.999997518,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-24,00:00:00,INGLESIDE,NONE,BRAZIL AV / MOSCOW ST,-122.427646116,37.7212574332,POINT (6004172.0001386255 2090829.999997518),2012-09-24,0
120769974,6011237.96952441,2112731.1531226076,CAR THEFT,STOLEN TRUCK,Tuesday,2012-09-25,00:00:00,SOUTHERN,NONE,800 Block of HOWARD ST,-122.404762028,37.781790352,POINT (6011237.96952441 2112731.1531226076),2012-09-25,0
